name,n_qubits,bandwidth,entanglement,n_samples,effective_rank,top_eigenvalue,off_diagonal_mean,rbf_correlation,rbf_gamma,geometric_difference,passes_conditioning,passes_distinctness,n_features,gram_seconds,selected_features
dense_angle,2,0.0625,none,300,0.0034690324011626018,0.9937548869363793,0.9937213658583824,0.9077642907734352,10.0,1.5513912369175296,False,False,4,0.06575583096127957,V258;V257;card1;TransactionAmt
dense_angle,2,0.03125,none,300,0.0033740328717372743,0.9984333594881486,0.9984273170059714,0.8891877038620478,10.0,1.612993354167432,False,False,4,0.07050553802400827,V258;V257;card1;TransactionAmt
zz,6,1.0,linear,300,0.13067525046636252,0.142521145405107,0.10086028307997837,0.6986111075398386,10.0,327.1640631003332,True,False,6,0.24407666100887582,V258;V257;card1;TransactionAmt;V246;V201
zz,6,0.5,linear,300,0.06161966309793139,0.17628448931797683,0.15700584840818388,0.8198328609319075,10.0,305.5024811713877,True,False,6,0.24243639298947528,V258;V257;card1;TransactionAmt;V246;V201
zz,6,0.25,linear,300,0.02678424372463306,0.33112361879040614,0.2862027822009917,0.8558176900865901,10.0,280.84950927134366,True,False,6,0.2395579949952662,V258;V257;card1;TransactionAmt;V246;V201
zz,6,0.125,linear,300,0.01161391557483428,0.5967152789596208,0.5609162108292305,0.9236760612330777,10.0,106.25583530730059,True,False,6,0.2478107120259665,V258;V257;card1;TransactionAmt;V246;V201
zz,6,0.0625,linear,300,0.006258581341139769,0.8265520151485367,0.8142707488138089,0.9344945950483692,10.0,23.10257885483582,False,False,6,0.24116129201138392,V258;V257;card1;TransactionAmt;V246;V201
zz,6,0.03125,linear,300,0.004364351418574477,0.9415328515163037,0.9387041594858431,0.9689448259024287,10.0,3.843305600093433,False,False,6,0.24551696697017178,V258;V257;card1;TransactionAmt;V246;V201
zz,6,1.0,none,300,0.013624691688425712,0.587557015876269,0.5506552301708901,0.6323701191112404,3.1622776601683795,250.55334719192754,True,False,6,0.1289366469718516,V258;V257;card1;TransactionAmt;V246;V201
zz,6,0.5,none,300,0.01016235138569147,0.628386136284511,0.5988058701104783,0.9872098101841671,1.467799267622069,94.41810371927005,True,False,6,0.1331388329854235,V258;V257;card1;TransactionAmt;V246;V201
zz,6,0.25,none,300,0.005619150717499128,0.8699737447371715,0.8616386615646516,0.9884089825479745,1.467799267622069,15.775232806750958,False,False,6,0.1284075629664585,V258;V257;card1;TransactionAmt;V246;V201
zz,6,0.125,none,300,0.003984323816565156,0.9669548844684202,0.9658086356277582,0.9987599340214424,1.0,1.9256841950246841,False,False,6,0.13247386395232752,V258;V257;card1;TransactionAmt;V246;V201
zz,6,0.0625,none,300,0.003525414613732118,0.991667554155617,0.9915558471993092,0.9999256341376128,1.0,1.470188082842761,False,False,6,0.1332718189805746,V258;V257;card1;TransactionAmt;V246;V201
zz,6,0.03125,none,300,0.0033900867650550524,0.9979094387724151,0.9978968351576631,0.999995419538245,1.0,1.628937212920412,False,False,6,0.13025352696422487,V258;V257;card1;TransactionAmt;V246;V201
z,6,1.0,none,300,0.013624691688425712,0.587557015876269,0.5506552301708901,0.6323701191112404,3.1622776601683795,250.55334719192754,True,False,6,0.13044256600551307,V258;V257;card1;TransactionAmt;V246;V201
z,6,0.5,none,300,0.01016235138569147,0.628386136284511,0.5988058701104783,0.9872098101841671,1.467799267622069,94.41810371927005,True,False,6,0.13680520898196846,V258;V257;card1;TransactionAmt;V246;V201
z,6,0.25,none,300,0.005619150717499128,0.8699737447371715,0.8616386615646516,0.9884089825479745,1.467799267622069,15.775232806750958,False,False,6,0.13178072700975463,V258;V257;card1;TransactionAmt;V246;V201
z,6,0.125,none,300,0.003984323816565156,0.9669548844684202,0.9658086356277582,0.9987599340214424,1.0,1.9256841950246841,False,False,6,0.12729026598390192,V258;V257;card1;TransactionAmt;V246;V201
z,6,0.0625,none,300,0.003525414613732118,0.991667554155617,0.9915558471993092,0.9999256341376128,1.0,1.470188082842761,False,False,6,0.12866999203106388,V258;V257;card1;TransactionAmt;V246;V201
z,6,0.03125,none,300,0.0033900867650550524,0.9979094387724151,0.9978968351576631,0.999995419538245,1.0,1.628937212920412,False,False,6,0.13485027803108096,V258;V257;card1;TransactionAmt;V246;V201
dense_angle,3,1.0,linear,300,0.010447313402266067,0.5925353284821155,0.5625613295308237,0.9654742094082275,0.6812920690579608,95.75938384550969,True,False,6,0.109110267017968,V258;V257;card1;TransactionAmt;V246;V201
